"participant","condition","IAT_condition","block_order","task_order","gender","age","mean_rating","IAT_D1","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_D1","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials","modern_racism_scale_total"
39,7,"Flowers-Insects IAT","congruent","SCIAT first","female",28,4,1.058,1096,0.94,FALSE,NA,NA,NA,NA,14
44,4,"Race IAT","incongruent","SCIAT first","male",57,4,0.977,781,0.99,FALSE,NA,NA,NA,NA,14
52,4,"Race IAT","incongruent","SCIAT first","female",34,3.83,0.505,672,0.58,FALSE,NA,NA,NA,NA,15
53,5,"Flowers-Insects IAT","congruent","ratings first","male",38,4,0.766,828,0.93,FALSE,NA,NA,NA,NA,15
59,3,"Race IAT","congruent","SCIAT first","male",34,6,0.622,945,0.99,FALSE,NA,NA,NA,NA,13
64,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,4,0.267,646,0.92,FALSE,NA,NA,NA,NA,16
65,1,"Race IAT","congruent","ratings first","male",28,4,0.536,817,0.99,FALSE,NA,NA,NA,NA,19
68,4,"Race IAT","incongruent","SCIAT first","male",43,3.5,0.844,712,0.83,FALSE,NA,NA,NA,NA,25
69,5,"Flowers-Insects IAT","congruent","ratings first","female",35,4,0.972,702,0.98,FALSE,NA,NA,NA,NA,17
72,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",44,7,0.819,601,0.92,FALSE,NA,NA,NA,NA,12
73,1,"Race IAT","congruent","ratings first","female",59,6,0.672,925,0.91,FALSE,NA,NA,NA,NA,9
75,3,"Race IAT","congruent","SCIAT first","fee",35,4,-0.056,1048,0.98,FALSE,NA,NA,NA,NA,19
76,4,"Race IAT","incongruent","SCIAT first","female",39,5.5,0.285,712,0.98,FALSE,NA,NA,NA,NA,15
77,5,"Flowers-Insects IAT","congruent","ratings first","male",57,4,0.689,854,0.98,FALSE,NA,NA,NA,NA,18
78,6,"Flowers-Insects IAT","incongruent","ratings first","male",49,4.67,1.065,574,0.93,FALSE,NA,NA,NA,NA,17
79,7,"Flowers-Insects IAT","congruent","SCIAT first","male",40,4,0.897,722,0.97,FALSE,NA,NA,NA,NA,28
80,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",61,3.83,0.225,680,1,FALSE,NA,NA,NA,NA,21
83,3,"Race IAT","congruent","SCIAT first","male",22,4,1.017,1056,0.97,FALSE,NA,NA,NA,NA,22
86,6,"Flowers-Insects IAT","incongruent","ratings first","female",53,4.5,1.002,870,0.91,FALSE,NA,NA,NA,NA,13
87,7,"Flowers-Insects IAT","congruent","SCIAT first","female",39,4,0.002,740,0.97,FALSE,NA,NA,NA,NA,11
89,1,"Race IAT","congruent","ratings first","male",49,4,0.425,829,0.9,FALSE,NA,NA,NA,NA,14
94,6,"Flowers-Insects IAT","incongruent","ratings first","male",41,4,0.458,667,0.96,FALSE,NA,NA,NA,NA,11
96,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",29,4,1.116,813,0.91,FALSE,NA,NA,NA,NA,16
97,1,"Race IAT","congruent","ratings first","male",56,6,-0.021,1169,1,FALSE,NA,NA,NA,NA,16
98,2,"Race IAT","incongruent","ratings first","male",37,4,0.415,980,0.98,FALSE,NA,NA,NA,NA,17
100,4,"Race IAT","incongruent","SCIAT first","male",37,4.33,1.014,726,0.97,FALSE,NA,NA,NA,NA,19
102,6,"Flowers-Insects IAT","incongruent","ratings first","male",38,3.17,0.73,889,0.95,FALSE,NA,NA,NA,NA,22
104,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,6,0.855,887,1,FALSE,NA,NA,NA,NA,26
107,3,"Race IAT","congruent","SCIAT first","female",25,5,-0.126,768,0.97,FALSE,NA,NA,NA,NA,13
108,4,"Race IAT","incongruent","SCIAT first","female",62,4,0.646,963,0.99,FALSE,NA,NA,NA,NA,17
111,7,"Flowers-Insects IAT","congruent","SCIAT first","male",41,2,1.329,964,0.98,FALSE,NA,NA,NA,NA,13
116,4,"Race IAT","incongruent","SCIAT first","male",35,4,0.305,916,0.88,FALSE,NA,NA,NA,NA,23
120,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",27,5,-0.138,798,0.86,FALSE,NA,NA,NA,NA,17
121,1,"Race IAT","congruent","ratings first","male",22,4,0.308,905,0.81,FALSE,NA,NA,NA,NA,19
123,3,"Race IAT","congruent","SCIAT first","female",28,6,0.03,1470,0.87,FALSE,NA,NA,NA,NA,21
124,4,"Race IAT","incongruent","SCIAT first","female",22,4.83,-0.104,762,0.86,FALSE,NA,NA,NA,NA,15
125,5,"Flowers-Insects IAT","congruent","ratings first","male",41,4,1.004,954,0.89,FALSE,NA,NA,NA,NA,22
127,7,"Flowers-Insects IAT","congruent","SCIAT first","female",27,3.17,0.717,737,0.97,FALSE,NA,NA,NA,NA,20
128,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",21,4.67,0.605,635,0.91,FALSE,NA,NA,NA,NA,18
136,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",32,4,1.353,804,0.95,FALSE,NA,NA,NA,NA,27
137,1,"Race IAT","congruent","ratings first","male",61,3.83,0.33,903,0.99,FALSE,NA,NA,NA,NA,14
138,2,"Race IAT","incongruent","ratings first","woman",22,5,0.233,860,0.96,FALSE,NA,NA,NA,NA,13
139,3,"Race IAT","congruent","SCIAT first","female",37,5.67,0.51,923,0.95,FALSE,NA,NA,NA,NA,15
140,4,"Race IAT","incongruent","SCIAT first","male",37,3.67,0.344,686,0.94,FALSE,NA,NA,NA,NA,18
147,3,"Race IAT","congruent","SCIAT first","female",54,4,0.052,1187,0.95,FALSE,NA,NA,NA,NA,16
150,6,"Flowers-Insects IAT","incongruent","ratings first","male",57,4,0.661,957,0.97,FALSE,NA,NA,NA,NA,15
151,7,"Flowers-Insects IAT","congruent","SCIAT first","female",21,4.33,0.43,922,0.87,FALSE,NA,NA,NA,NA,25
152,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",22,4.17,0.82,688,0.9,FALSE,NA,NA,NA,NA,20
154,2,"Race IAT","incongruent","ratings first","male",28,5,1.032,1167,0.99,FALSE,NA,NA,NA,NA,22
156,4,"Race IAT","incongruent","SCIAT first","female",45,4.17,0.757,1081,0.97,FALSE,NA,NA,NA,NA,13
157,5,"Flowers-Insects IAT","congruent","ratings first","male",21,4.5,0.397,764,0.93,FALSE,NA,NA,NA,NA,16
159,7,"Flowers-Insects IAT","congruent","SCIAT first","female",51,4,0.644,813,0.98,FALSE,NA,NA,NA,NA,14
162,2,"Race IAT","incongruent","ratings first","male",29,4.83,0.634,648,1,FALSE,NA,NA,NA,NA,11
163,3,"Race IAT","congruent","SCIAT first","male",38,4.5,0.688,786,0.9,FALSE,NA,NA,NA,NA,16
165,5,"Flowers-Insects IAT","congruent","ratings first","male",31,4.17,0.893,874,0.98,FALSE,NA,NA,NA,NA,13
173,5,"Flowers-Insects IAT","congruent","ratings first","female",48,4.67,0.421,640,0.96,FALSE,NA,NA,NA,NA,19
175,7,"Flowers-Insects IAT","congruent","SCIAT first","male",35,4.5,0.716,655,0.98,FALSE,NA,NA,NA,NA,16
176,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,4,0.852,782,0.97,FALSE,NA,NA,NA,NA,21
179,3,"Race IAT","congruent","SCIAT first","female",48,6,0.323,745,0.98,FALSE,NA,NA,NA,NA,26
180,4,"Race IAT","incongruent","SCIAT first","male",32,4,0.94,804,0.83,FALSE,NA,NA,NA,NA,14
181,5,"Flowers-Insects IAT","congruent","ratings first","female",44,4.17,-0.465,1336,0.99,FALSE,NA,NA,NA,NA,12
185,1,"Race IAT","congruent","ratings first","female",34,4,0.483,895,0.92,FALSE,NA,NA,NA,NA,20
188,4,"Race IAT","incongruent","SCIAT first","female",39,5,0.652,714,1,FALSE,NA,NA,NA,NA,12
193,1,"Race IAT","congruent","ratings first","male",53,4.67,0.846,769,1,FALSE,NA,NA,NA,NA,20
194,2,"Race IAT","incongruent","ratings first","male",48,4,1.117,708,0.99,FALSE,NA,NA,NA,NA,24
196,4,"Race IAT","incongruent","SCIAT first","male",27,4,0.101,807,0.97,FALSE,NA,NA,NA,NA,18
197,5,"Flowers-Insects IAT","congruent","ratings first","female",53,4.17,0.592,880,0.98,FALSE,NA,NA,NA,NA,12
199,7,"Flowers-Insects IAT","congruent","SCIAT first","female",44,4.5,0.947,938,0.97,FALSE,NA,NA,NA,NA,17
201,1,"Race IAT","congruent","ratings first","male",18,7,0.793,996,0.87,FALSE,NA,NA,NA,NA,15
204,4,"Race IAT","incongruent","SCIAT first","male",61,4,0.894,776,0.95,FALSE,NA,NA,NA,NA,30
208,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,4,0.873,682,0.93,FALSE,NA,NA,NA,NA,20
210,2,"Race IAT","incongruent","ratings first","male",22,4.83,-0.025,910,0.98,FALSE,NA,NA,NA,NA,14
212,4,"Race IAT","incongruent","SCIAT first","male",40,4,0.462,767,0.84,FALSE,NA,NA,NA,NA,12
214,6,"Flowers-Insects IAT","incongruent","ratings first","male ",29,5.17,1.092,705,0.94,FALSE,NA,NA,NA,NA,17
216,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,5.17,0.885,835,0.88,FALSE,NA,NA,NA,NA,17
217,1,"Race IAT","congruent","ratings first","female",57,4.5,0.588,703,0.92,FALSE,NA,NA,NA,NA,13
220,4,"Race IAT","incongruent","SCIAT first","female",30,4,0.477,610,0.93,FALSE,NA,NA,NA,NA,17
221,5,"Flowers-Insects IAT","congruent","ratings first","male",45,3.83,0.896,918,0.98,FALSE,NA,NA,NA,NA,21
222,6,"Flowers-Insects IAT","incongruent","ratings first","male",27,4,0.463,649,0.89,FALSE,NA,NA,NA,NA,23
224,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",58,5,0.78,887,1,FALSE,NA,NA,NA,NA,20
226,2,"Race IAT","incongruent","ratings first","female",55,6,0.526,879,0.96,FALSE,NA,NA,NA,NA,19
229,5,"Flowers-Insects IAT","congruent","ratings first","male",22,3.83,0.388,874,0.97,FALSE,NA,NA,NA,NA,16
230,6,"Flowers-Insects IAT","incongruent","ratings first","female ",26,4,0.077,793,0.96,FALSE,NA,NA,NA,NA,13
231,7,"Flowers-Insects IAT","congruent","SCIAT first","male",44,4,0.896,914,0.93,FALSE,NA,NA,NA,NA,23
236,4,"Race IAT","incongruent","SCIAT first","male",30,2,0.767,732,0.92,FALSE,NA,NA,NA,NA,22
240,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",23,4.33,1.008,767,0.95,FALSE,NA,NA,NA,NA,18
241,1,"Race IAT","congruent","ratings first","male",22,3.83,0.308,612,0.91,FALSE,NA,NA,NA,NA,19
242,2,"Race IAT","incongruent","ratings first","male",37,4.17,-0.019,794,0.92,FALSE,NA,NA,NA,NA,14
245,5,"Flowers-Insects IAT","congruent","ratings first","female",22,3.33,0.688,736,0.98,FALSE,NA,NA,NA,NA,18
246,6,"Flowers-Insects IAT","incongruent","ratings first","female",59,4.33,1.425,876,0.99,FALSE,NA,NA,NA,NA,19
248,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",44,4.33,0.617,806,0.99,FALSE,NA,NA,NA,NA,19
250,2,"Race IAT","incongruent","ratings first","male",27,3,0.832,803,0.9,FALSE,NA,NA,NA,NA,24
253,5,"Flowers-Insects IAT","congruent","ratings first","male",33,3.33,0.844,816,0.98,FALSE,NA,NA,NA,NA,24
255,7,"Flowers-Insects IAT","congruent","SCIAT first","male",52,6,0.717,771,0.95,FALSE,NA,NA,NA,NA,22
257,1,"Race IAT","congruent","ratings first","male",22,4,0.904,664,0.96,FALSE,NA,NA,NA,NA,14
258,2,"Race IAT","incongruent","ratings first","female",33,4,1.198,714,0.95,FALSE,NA,NA,NA,NA,21
259,3,"Race IAT","congruent","SCIAT first","female",31,5.83,0.943,609,0.97,FALSE,NA,NA,NA,NA,17
260,4,"Race IAT","incongruent","SCIAT first","male",24,4.33,0.953,746,0.96,FALSE,NA,NA,NA,NA,18
263,7,"Flowers-Insects IAT","congruent","SCIAT first","female",48,4.83,1.14,808,0.93,FALSE,NA,NA,NA,NA,12
265,1,"Race IAT","congruent","ratings first","female",25,3.83,0.929,801,0.93,FALSE,NA,NA,NA,NA,15
266,2,"Race IAT","incongruent","ratings first","female",50,5.67,0.799,922,0.98,FALSE,NA,NA,NA,NA,14
268,4,"Race IAT","incongruent","SCIAT first","male",26,5.17,0.422,1075,0.99,FALSE,NA,NA,NA,NA,15
270,6,"Flowers-Insects IAT","incongruent","ratings first","female",44,4.17,0.057,983,0.96,FALSE,NA,NA,NA,NA,14
272,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",23,5.83,0.642,657,0.87,FALSE,NA,NA,NA,NA,15
274,2,"Race IAT","incongruent","ratings first","male",30,3.83,0.329,709,0.98,FALSE,NA,NA,NA,NA,17
275,3,"Race IAT","congruent","SCIAT first","female",34,4.5,0.398,903,0.98,FALSE,NA,NA,NA,NA,18
277,5,"Flowers-Insects IAT","congruent","ratings first","male",35,3.17,0.379,485,0.93,FALSE,NA,NA,NA,NA,17
278,6,"Flowers-Insects IAT","incongruent","ratings first","male",52,5,0.103,841,0.99,FALSE,NA,NA,NA,NA,15
282,2,"Race IAT","incongruent","ratings first","male",58,4,0.366,1065,0.89,FALSE,NA,NA,NA,NA,20
284,4,"Race IAT","incongruent","SCIAT first","male",30,2.83,0.878,729,0.94,FALSE,NA,NA,NA,NA,15
286,6,"Flowers-Insects IAT","incongruent","ratings first","female",55,4.67,0.573,1382,0.68,FALSE,NA,NA,NA,NA,24
289,1,"Race IAT","congruent","ratings first","female",40,5.5,0.36,723,0.97,FALSE,NA,NA,NA,NA,14
290,2,"Race IAT","incongruent","ratings first","female",51,4.83,-0.025,709,0.98,FALSE,NA,NA,NA,NA,17
291,3,"Race IAT","congruent","SCIAT first","female",37,4,0.008,922,0.91,FALSE,NA,NA,NA,NA,13
292,4,"Race IAT","incongruent","SCIAT first","female",23,4,0.288,604,0.95,FALSE,NA,NA,NA,NA,15
293,5,"Flowers-Insects IAT","congruent","ratings first","male",21,3.5,-0.271,765,0.94,FALSE,NA,NA,NA,NA,13
294,6,"Flowers-Insects IAT","incongruent","ratings first","female",51,4.83,0.869,746,0.97,FALSE,NA,NA,NA,NA,17
297,1,"Race IAT","congruent","ratings first","male",48,4.33,0.654,615,0.9,FALSE,NA,NA,NA,NA,12
298,2,"Race IAT","incongruent","ratings first","female",28,4,0.707,982,0.94,FALSE,NA,NA,NA,NA,18
305,1,"Race IAT","congruent","ratings first","male",18,4.33,0.596,1093,0.93,FALSE,NA,NA,NA,NA,19
306,2,"Race IAT","incongruent","ratings first","female",21,3.33,0.706,760,0.82,FALSE,NA,NA,NA,NA,15
308,4,"Race IAT","incongruent","SCIAT first","male",22,4.67,0.366,817,0.99,FALSE,NA,NA,NA,NA,19
312,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",29,4,0.496,889,0.95,FALSE,NA,NA,NA,NA,14
315,3,"Race IAT","congruent","SCIAT first","male",26,4.17,0.126,1019,1,FALSE,NA,NA,NA,NA,20
316,4,"Race IAT","incongruent","SCIAT first","female",24,4.67,0.209,592,0.94,FALSE,NA,NA,NA,NA,12
324,4,"Race IAT","incongruent","SCIAT first","male",47,4,0.509,863,0.93,FALSE,NA,NA,NA,NA,16
330,2,"Race IAT","incongruent","ratings first","female",55,4.67,0.017,883,0.94,FALSE,NA,NA,NA,NA,17
332,4,"Race IAT","incongruent","SCIAT first","male",51,4.67,0.907,995,0.96,FALSE,NA,NA,NA,NA,18
333,5,"Flowers-Insects IAT","congruent","ratings first","male",51,3.83,0.462,908,0.99,FALSE,NA,NA,NA,NA,14
335,7,"Flowers-Insects IAT","congruent","SCIAT first","female",33,3.5,1.185,978,0.89,FALSE,NA,NA,NA,NA,18
336,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",53,3.33,1.089,1125,0.88,FALSE,NA,NA,NA,NA,15
338,2,"Race IAT","incongruent","ratings first","male",32,2,0.808,704,0.85,FALSE,NA,NA,NA,NA,17
340,4,"Race IAT","incongruent","SCIAT first","male",28,4,0.406,915,0.91,FALSE,NA,NA,NA,NA,15
342,6,"Flowers-Insects IAT","incongruent","ratings first","male",29,4,0.599,955,0.94,FALSE,NA,NA,NA,NA,16
343,7,"Flowers-Insects IAT","congruent","SCIAT first","female",48,5.83,1.151,814,0.96,FALSE,NA,NA,NA,NA,14
344,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",27,4.67,0.648,756,0.82,FALSE,NA,NA,NA,NA,14
345,1,"Race IAT","congruent","ratings first","genderfluid",27,4,0.428,842,0.96,FALSE,NA,NA,NA,NA,17
347,3,"Race IAT","congruent","SCIAT first","female",28,4.67,0.23,758,0.94,FALSE,NA,NA,NA,NA,18
348,4,"Race IAT","incongruent","SCIAT first","male",33,5.67,0.734,801,0.96,FALSE,NA,NA,NA,NA,14
349,5,"Flowers-Insects IAT","congruent","ratings first","female",47,4,0.557,936,1,FALSE,NA,NA,NA,NA,15
350,6,"Flowers-Insects IAT","incongruent","ratings first","male",60,4.33,1.15,940,0.94,FALSE,NA,NA,NA,NA,19
351,7,"Flowers-Insects IAT","congruent","SCIAT first","male",24,5.33,0.3,1059,0.91,FALSE,NA,NA,NA,NA,14
352,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",38,4.33,0.703,725,0.96,FALSE,NA,NA,NA,NA,12
355,3,"Race IAT","congruent","SCIAT first","female",33,5.33,0.639,1106,1,FALSE,NA,NA,NA,NA,12
356,4,"Race IAT","incongruent","SCIAT first","female",34,6.83,0.209,707,0.99,FALSE,NA,NA,NA,NA,15
360,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",36,4,1.019,1032,0.97,FALSE,NA,NA,NA,NA,21
362,2,"Race IAT","incongruent","ratings first","female",33,4,0.494,724,0.94,FALSE,NA,NA,NA,NA,22
364,4,"Race IAT","incongruent","SCIAT first","male",26,3.83,0.637,653,0.95,FALSE,NA,NA,NA,NA,14
367,7,"Flowers-Insects IAT","congruent","SCIAT first","female",19,3.83,1.258,813,0.88,FALSE,NA,NA,NA,NA,15
368,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",35,4,1.124,818,0.98,FALSE,NA,NA,NA,NA,16
369,1,"Race IAT","congruent","ratings first","male",42,2.33,1.116,1119,0.98,FALSE,NA,NA,NA,NA,26
372,4,"Race IAT","incongruent","SCIAT first","female",20,6,-0.403,710,0.97,FALSE,NA,NA,NA,NA,16
375,7,"Flowers-Insects IAT","congruent","SCIAT first","male",27,3.83,0.001,744,0.9,FALSE,NA,NA,NA,NA,25
376,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",29,3.5,0.818,651,0.92,FALSE,NA,NA,NA,NA,20
379,3,"Race IAT","congruent","SCIAT first","female",24,3.67,0.879,761,0.91,FALSE,NA,NA,NA,NA,23
381,5,"Flowers-Insects IAT","congruent","ratings first","female",19,3.5,0.057,726,0.97,FALSE,NA,NA,NA,NA,14
383,7,"Flowers-Insects IAT","congruent","SCIAT first","female",54,3.83,1.472,835,1,FALSE,NA,NA,NA,NA,20
385,1,"Race IAT","congruent","ratings first","male",22,6,0.667,647,0.64,TRUE,NA,NA,NA,NA,22
386,2,"Race IAT","incongruent","ratings first","female",28,4,1.342,695,0.91,FALSE,NA,NA,NA,NA,19
389,5,"Flowers-Insects IAT","congruent","ratings first","female",33,4.17,1.198,723,0.92,FALSE,NA,NA,NA,NA,13
398,6,"Flowers-Insects IAT","incongruent","ratings first","male",23,4.83,1.008,720,0.83,FALSE,NA,NA,NA,NA,28
400,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",20,4.83,0.649,596,0.99,FALSE,NA,NA,NA,NA,14
402,2,"Race IAT","incongruent","ratings first","male",22,4,1.396,666,0.84,FALSE,NA,NA,NA,NA,14
404,4,"Race IAT","incongruent","SCIAT first","male",18,6,0.784,791,0.93,FALSE,NA,NA,NA,NA,20
410,2,"Race IAT","incongruent","ratings first","female",47,5,0.592,804,0.98,FALSE,NA,NA,NA,NA,18
416,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",54,4,0.359,864,0.77,FALSE,NA,NA,NA,NA,23
421,5,"Flowers-Insects IAT","congruent","ratings first","female",29,4,0.633,719,0.84,FALSE,NA,NA,NA,NA,20
422,6,"Flowers-Insects IAT","incongruent","ratings first","male",55,3.33,0.777,988,0.97,FALSE,NA,NA,NA,NA,15
424,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,3,0.236,953,0.98,FALSE,NA,NA,NA,NA,24
427,3,"Race IAT","congruent","SCIAT first","male",23,4,0.924,794,0.75,FALSE,NA,NA,NA,NA,16
429,5,"Flowers-Insects IAT","congruent","ratings first","female",37,4,1.033,715,0.98,FALSE,NA,NA,NA,NA,15
432,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,3.83,0.829,979,0.98,FALSE,NA,NA,NA,NA,14
433,1,"Race IAT","congruent","ratings first","female",24,4,0.792,863,0.92,FALSE,NA,NA,NA,NA,21
435,3,"Race IAT","congruent","SCIAT first","female",49,3.67,0.957,930,0.97,FALSE,NA,NA,NA,NA,17
440,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,4.17,0.519,931,0.92,FALSE,NA,NA,NA,NA,19
442,2,"Race IAT","incongruent","ratings first","female",30,7,0.492,781,0.97,FALSE,NA,NA,NA,NA,16
443,3,"Race IAT","congruent","SCIAT first","female",45,5.5,0.766,736,0.87,FALSE,NA,NA,NA,NA,12
446,6,"Flowers-Insects IAT","incongruent","ratings first","male",40,4,0.947,553,0.85,FALSE,NA,NA,NA,NA,25
448,8,"Flowers-Insects IAT","incongruent","SCIAT first","",33,4,0.672,1025,0.95,FALSE,NA,NA,NA,NA,24
450,2,"Race IAT","incongruent","ratings first","male",18,4,0.166,787,0.74,FALSE,NA,NA,NA,NA,22
454,6,"Flowers-Insects IAT","incongruent","ratings first","male",43,3.83,0.965,978,0.99,FALSE,NA,NA,NA,NA,16
456,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",20,4.17,0.398,711,0.73,FALSE,NA,NA,NA,NA,19
457,1,"Race IAT","congruent","ratings first","female",23,5,0.353,686,0.97,FALSE,NA,NA,NA,NA,15
459,3,"Race IAT","congruent","SCIAT first","female",27,4.83,0.531,862,0.95,FALSE,NA,NA,NA,NA,22
460,4,"Race IAT","incongruent","SCIAT first","female",34,1.5,0.677,747,0.88,FALSE,NA,NA,NA,NA,19
463,7,"Flowers-Insects IAT","congruent","SCIAT first","male",57,4,0.329,1088,0.96,FALSE,NA,NA,NA,NA,16
464,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",32,4,1.014,978,0.97,FALSE,NA,NA,NA,NA,13
465,1,"Race IAT","congruent","ratings first","male",39,4,1.138,780,0.91,FALSE,NA,NA,NA,NA,18
466,2,"Race IAT","incongruent","ratings first","female",27,6,0.219,736,0.78,FALSE,NA,NA,NA,NA,11
468,4,"Race IAT","incongruent","SCIAT first","male",22,4.17,-0.076,992,0.91,FALSE,NA,NA,NA,NA,19
470,6,"Flowers-Insects IAT","incongruent","ratings first","male",33,6,1.013,992,0.88,FALSE,NA,NA,NA,NA,16
471,7,"Flowers-Insects IAT","congruent","SCIAT first","female",19,4.17,0.705,678,0.96,FALSE,NA,NA,NA,NA,18
475,3,"Race IAT","congruent","SCIAT first","male",31,6,0.46,1037,0.96,FALSE,NA,NA,NA,NA,23
478,6,"Flowers-Insects IAT","incongruent","ratings first","male",52,4,0.819,842,0.99,FALSE,NA,NA,NA,NA,18
480,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",28,4,0.633,737,0.94,FALSE,NA,NA,NA,NA,19
481,1,"Race IAT","congruent","ratings first","male",22,5,0.809,891,0.92,FALSE,NA,NA,NA,NA,22
